"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Le Moyne","team.php?team=Le+Moyne","Le+Moyne","NEC","conf.php?c=NEC","NEC",2025
"Lehigh","team.php?team=Lehigh","Lehigh","PL","conf.php?c=PL","PL",2025
"Liberty","team.php?team=Liberty","Liberty","CUSA","conf.php?c=CUSA","CUSA",2025
"Lindenwood","team.php?team=Lindenwood","Lindenwood","OVC","conf.php?c=OVC","OVC",2025
"Lipscomb","team.php?team=Lipscomb","Lipscomb","ASun","conf.php?c=ASun","ASun",2025
"Little Rock","team.php?team=Little+Rock","Little+Rock","OVC","conf.php?c=OVC","OVC",2025
"Long Beach St.","team.php?team=Long+Beach+St.","Long+Beach+St.","BW","conf.php?c=BW","BW",2025
"Longwood","team.php?team=Longwood","Longwood","BSth","conf.php?c=BSth","BSth",2025
"Louisiana","team.php?team=Louisiana","Louisiana","SB","conf.php?c=SB","SB",2025
"Louisiana Monroe","team.php?team=Louisiana+Monroe","Louisiana+Monroe","SB","conf.php?c=SB","SB",2025
"Louisiana Tech","team.php?team=Louisiana+Tech","Louisiana+Tech","CUSA","conf.php?c=CUSA","CUSA",2025
"Louisville","team.php?team=Louisville","Louisville","ACC","conf.php?c=ACC","ACC",2025
"Loyola Chicago","team.php?team=Loyola+Chicago","Loyola+Chicago","A10","conf.php?c=A10","A10",2025
"Loyola MD","team.php?team=Loyola+MD","Loyola+MD","PL","conf.php?c=PL","PL",2025
"Loyola Marymount","team.php?team=Loyola+Marymount","Loyola+Marymount","WCC","conf.php?c=WCC","WCC",2025
"Maine","team.php?team=Maine","Maine","AE","conf.php?c=AE","AE",2025
"Manhattan","team.php?team=Manhattan","Manhattan","MAAC","conf.php?c=MAAC","MAAC",2025
"Marist","team.php?team=Marist","Marist","MAAC","conf.php?c=MAAC","MAAC",2025
"Marquette","team.php?team=Marquette","Marquette","BE","conf.php?c=BE","BE",2025
"Marshall","team.php?team=Marshall","Marshall","SB","conf.php?c=SB","SB",2025
"Maryland","team.php?team=Maryland","Maryland","B10","conf.php?c=B10","B10",2025
"Maryland Eastern Shore","team.php?team=Maryland+Eastern+Shore","Maryland+Eastern+Shore","MEAC","conf.php?c=MEAC","MEAC",2025
"Massachusetts","team.php?team=Massachusetts","Massachusetts","A10","conf.php?c=A10","A10",2025
"McNeese","team.php?team=McNeese","McNeese","Slnd","conf.php?c=Slnd","Slnd",2025
"Memphis","team.php?team=Memphis","Memphis","Amer","conf.php?c=Amer","Amer",2025
"Mercer","team.php?team=Mercer","Mercer","SC","conf.php?c=SC","SC",2025
"Mercyhurst","team.php?team=Mercyhurst","Mercyhurst","NEC","conf.php?c=NEC","NEC",2025
"Merrimack","team.php?team=Merrimack","Merrimack","MAAC","conf.php?c=MAAC","MAAC",2025
"Miami FL","team.php?team=Miami+FL","Miami+FL","ACC","conf.php?c=ACC","ACC",2025
"Miami OH","team.php?team=Miami+OH","Miami+OH","MAC","conf.php?c=MAC","MAC",2025
"Michigan","team.php?team=Michigan","Michigan","B10","conf.php?c=B10","B10",2025
"Michigan St.","team.php?team=Michigan+St.","Michigan+St.","B10","conf.php?c=B10","B10",2025
"Middle Tennessee","team.php?team=Middle+Tennessee","Middle+Tennessee","CUSA","conf.php?c=CUSA","CUSA",2025
"Milwaukee","team.php?team=Milwaukee","Milwaukee","Horz","conf.php?c=Horz","Horz",2025
"Minnesota","team.php?team=Minnesota","Minnesota","B10","conf.php?c=B10","B10",2025
"Mississippi","team.php?team=Mississippi","Mississippi","SEC","conf.php?c=SEC","SEC",2025
"Mississippi St.","team.php?team=Mississippi+St.","Mississippi+St.","SEC","conf.php?c=SEC","SEC",2025
"Mississippi Valley St.","team.php?team=Mississippi+Valley+St.","Mississippi+Valley+St.","SWAC","conf.php?c=SWAC","SWAC",2025
"Missouri","team.php?team=Missouri","Missouri","SEC","conf.php?c=SEC","SEC",2025
"Missouri St.","team.php?team=Missouri+St.","Missouri+St.","MVC","conf.php?c=MVC","MVC",2025
"Monmouth","team.php?team=Monmouth","Monmouth","CAA","conf.php?c=CAA","CAA",2025
"Montana","team.php?team=Montana","Montana","BSky","conf.php?c=BSky","BSky",2025
"Montana St.","team.php?team=Montana+St.","Montana+St.","BSky","conf.php?c=BSky","BSky",2025
"Morehead St.","team.php?team=Morehead+St.","Morehead+St.","OVC","conf.php?c=OVC","OVC",2025
"Morgan St.","team.php?team=Morgan+St.","Morgan+St.","MEAC","conf.php?c=MEAC","MEAC",2025
"Mount St. Mary's","team.php?team=Mount+St.+Mary%27s","Mount+St.+Mary%27s","MAAC","conf.php?c=MAAC","MAAC",2025
"Murray St.","team.php?team=Murray+St.","Murray+St.","MVC","conf.php?c=MVC","MVC",2025
"N.C. State","team.php?team=N.C.+State","N.C.+State","ACC","conf.php?c=ACC","ACC",2025
"NJIT","team.php?team=NJIT","NJIT","AE","conf.php?c=AE","AE",2025
"Navy","team.php?team=Navy","Navy","PL","conf.php?c=PL","PL",2025
"Nebraska","team.php?team=Nebraska","Nebraska","B10","conf.php?c=B10","B10",2025
"Nebraska Omaha","team.php?team=Nebraska+Omaha","Nebraska+Omaha","Sum","conf.php?c=Sum","Sum",2025
"Nevada","team.php?team=Nevada","Nevada","MWC","conf.php?c=MWC","MWC",2025
"New Hampshire","team.php?team=New+Hampshire","New+Hampshire","AE","conf.php?c=AE","AE",2025
"New Mexico","team.php?team=New+Mexico","New+Mexico","MWC","conf.php?c=MWC","MWC",2025
"New Mexico St.","team.php?team=New+Mexico+St.","New+Mexico+St.","CUSA","conf.php?c=CUSA","CUSA",2025
"New Orleans","team.php?team=New+Orleans","New+Orleans","Slnd","conf.php?c=Slnd","Slnd",2025
"Niagara","team.php?team=Niagara","Niagara","MAAC","conf.php?c=MAAC","MAAC",2025
"Nicholls","team.php?team=Nicholls","Nicholls","Slnd","conf.php?c=Slnd","Slnd",2025
"Norfolk St.","team.php?team=Norfolk+St.","Norfolk+St.","MEAC","conf.php?c=MEAC","MEAC",2025
"North Alabama","team.php?team=North+Alabama","North+Alabama","ASun","conf.php?c=ASun","ASun",2025
"North Carolina","team.php?team=North+Carolina","North+Carolina","ACC","conf.php?c=ACC","ACC",2025
"North Carolina A&T","team.php?team=North+Carolina+A%26T","North+Carolina+A%26T","CAA","conf.php?c=CAA","CAA",2025
"North Carolina Central","team.php?team=North+Carolina+Central","North+Carolina+Central","MEAC","conf.php?c=MEAC","MEAC",2025
"North Dakota","team.php?team=North+Dakota","North+Dakota","Sum","conf.php?c=Sum","Sum",2025
"North Dakota St.","team.php?team=North+Dakota+St.","North+Dakota+St.","Sum","conf.php?c=Sum","Sum",2025
"North Florida","team.php?team=North+Florida","North+Florida","ASun","conf.php?c=ASun","ASun",2025
"North Texas","team.php?team=North+Texas","North+Texas","Amer","conf.php?c=Amer","Amer",2025
"Northeastern","team.php?team=Northeastern","Northeastern","CAA","conf.php?c=CAA","CAA",2025
"Northern Arizona","team.php?team=Northern+Arizona","Northern+Arizona","BSky","conf.php?c=BSky","BSky",2025
"Northern Colorado","team.php?team=Northern+Colorado","Northern+Colorado","BSky","conf.php?c=BSky","BSky",2025
"Northern Illinois","team.php?team=Northern+Illinois","Northern+Illinois","MAC","conf.php?c=MAC","MAC",2025
"Northern Iowa","team.php?team=Northern+Iowa","Northern+Iowa","MVC","conf.php?c=MVC","MVC",2025
"Northern Kentucky","team.php?team=Northern+Kentucky","Northern+Kentucky","Horz","conf.php?c=Horz","Horz",2025
"Northwestern","team.php?team=Northwestern","Northwestern","B10","conf.php?c=B10","B10",2025
"Northwestern St.","team.php?team=Northwestern+St.","Northwestern+St.","Slnd","conf.php?c=Slnd","Slnd",2025
"Notre Dame","team.php?team=Notre+Dame","Notre+Dame","ACC","conf.php?c=ACC","ACC",2025
"Oakland","team.php?team=Oakland","Oakland","Horz","conf.php?c=Horz","Horz",2025
"Ohio","team.php?team=Ohio","Ohio","MAC","conf.php?c=MAC","MAC",2025
"Ohio St.","team.php?team=Ohio+St.","Ohio+St.","B10","conf.php?c=B10","B10",2025
"Oklahoma","team.php?team=Oklahoma","Oklahoma","SEC","conf.php?c=SEC","SEC",2025
"Oklahoma St.","team.php?team=Oklahoma+St.","Oklahoma+St.","B12","conf.php?c=B12","B12",2025
"Old Dominion","team.php?team=Old+Dominion","Old+Dominion","SB","conf.php?c=SB","SB",2025
"Oral Roberts","team.php?team=Oral+Roberts","Oral+Roberts","Sum","conf.php?c=Sum","Sum",2025
"Oregon","team.php?team=Oregon","Oregon","B10","conf.php?c=B10","B10",2025
"Oregon St.","team.php?team=Oregon+St.","Oregon+St.","WCC","conf.php?c=WCC","WCC",2025
"Pacific","team.php?team=Pacific","Pacific","WCC","conf.php?c=WCC","WCC",2025
"Penn","team.php?team=Penn","Penn","Ivy","conf.php?c=Ivy","Ivy",2025
"Penn St.","team.php?team=Penn+St.","Penn+St.","B10","conf.php?c=B10","B10",2025
"Pepperdine","team.php?team=Pepperdine","Pepperdine","WCC","conf.php?c=WCC","WCC",2025
"Pittsburgh","team.php?team=Pittsburgh","Pittsburgh","ACC","conf.php?c=ACC","ACC",2025
"Portland","team.php?team=Portland","Portland","WCC","conf.php?c=WCC","WCC",2025
"Portland St.","team.php?team=Portland+St.","Portland+St.","BSky","conf.php?c=BSky","BSky",2025
"Prairie View A&M","team.php?team=Prairie+View+A%26M","Prairie+View+A%26M","SWAC","conf.php?c=SWAC","SWAC",2025
"Presbyterian","team.php?team=Presbyterian","Presbyterian","BSth","conf.php?c=BSth","BSth",2025
"Princeton","team.php?team=Princeton","Princeton","Ivy","conf.php?c=Ivy","Ivy",2025
"Providence","team.php?team=Providence","Providence","BE","conf.php?c=BE","BE",2025
"Purdue","team.php?team=Purdue","Purdue","B10","conf.php?c=B10","B10",2025
"Purdue Fort Wayne","team.php?team=Purdue+Fort+Wayne","Purdue+Fort+Wayne","Horz","conf.php?c=Horz","Horz",2025
"Queens","team.php?team=Queens","Queens","ASun","conf.php?c=ASun","ASun",2025
